"sampleId","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","tmin1","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9","tmin10","tmin11","tmin12","tmax1","tmax2","tmax3","tmax4","tmax5","tmax6","tmax7","tmax8","tmax9","tmax10","tmax11","tmax12","prec1","prec2","prec3","prec4","prec5","prec6","prec7","prec8","prec9","prec10","prec11","prec12"
"AT_Mau_14_01",88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43
"AT_Mau_14_02",88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43
"AT_Mau_15_50",88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43
"AT_Mau_15_51",88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43
"AT_See_14_44",78,103,33,7098,236,-68,304,166,-1,166,-17,1288,142,67,24,418,211,418,225,-68,-56,-20,19,62,97,112,110,81,37,-5,-48,13,40,86,130,179,216,236,230,196,138,68,22,67,72,72,108,110,142,137,139,116,111,128,86
"AT_See_16_1",78,103,33,7098,236,-68,304,166,-1,166,-17,1288,142,67,24,418,211,418,225,-68,-56,-20,19,62,97,112,110,81,37,-5,-48,13,40,86,130,179,216,236,230,196,138,68,22,67,72,72,108,110,142,137,139,116,111,128,86
"BY_Bre_15_13",75,84,26,8237,240,-75,315,176,-24,176,-35,548,74,26,35,209,82,209,94,-75,-69,-25,35,82,115,129,123,87,45,2,-44,-16,-5,48,132,192,224,240,232,184,123,51,4,29,27,26,37,53,68,74,67,52,38,39,38
"CH_Cha_14_42",74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102
"CH_Cha_14_43",74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102
"CH_Cha_15_39",74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102
"CH_Cha_16_38",74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102
"CY_Nic_14_11",181,126,41,6425,348,47,301,101,263,263,101,391,88,1,84,217,10,10,217,48,47,63,93,133,173,196,198,171,138,98,66,140,149,177,224,276,320,346,348,313,266,212,161,78,51,46,21,21,7,1,2,8,31,37,88
"DE_Bro_14_14",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Bro_14_15",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Bro_15_53",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Bro_15_54",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Bro_16_10",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Bro_16_11",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Mun_14_31",80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57
"DE_Mun_14_32",80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57
"DE_Mun_15_45",80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57
"DE_Mun_15_46",80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57
"DE_Mun_16_12",80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57
"DE_Mun_16_13",80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57
"DK_Kar_14_39",78,65,27,6046,200,-40,240,87,26,156,3,605,64,34,21,186,106,170,117,-38,-40,-13,29,74,109,128,121,97,61,15,4,28,31,55,95,148,182,200,198,163,116,72,43,47,34,36,36,44,48,61,61,60,62,64,52
"DK_Kar_14_41",78,65,27,6046,200,-40,240,87,26,156,3,605,64,34,21,186,106,170,117,-38,-40,-13,29,74,109,128,121,97,61,15,4,28,31,55,95,148,182,200,198,163,116,72,43,47,34,36,36,44,48,61,61,60,62,64,52
"DK_Kar_16_2",78,65,27,6046,200,-40,240,87,26,156,3,605,64,34,21,186,106,170,117,-38,-40,-13,29,74,109,128,121,97,61,15,4,28,31,55,95,148,182,200,198,163,116,72,43,47,34,36,36,44,48,61,61,60,62,64,52
"DK_Kar_16_3",78,65,27,6046,200,-40,240,87,26,156,3,605,64,34,21,186,106,170,117,-38,-40,-13,29,74,109,128,121,97,61,15,4,28,31,55,95,148,182,200,198,163,116,72,43,47,34,36,36,44,48,61,61,60,62,64,52
"DK_Kar_16_4",78,65,27,6046,200,-40,240,87,26,156,3,605,64,34,21,186,106,170,117,-38,-40,-13,29,74,109,128,121,97,61,15,4,28,31,55,95,148,182,200,198,163,116,72,43,47,34,36,36,44,48,61,61,60,62,64,52
"ES_Ben_16_32",146,116,37,6411,325,18,307,99,232,233,70,470,60,6,49,167,29,37,162,18,25,48,67,95,137,169,170,142,98,57,30,109,127,152,179,213,277,325,319,274,209,153,113,53,50,60,57,42,15,6,8,23,47,50,59
"ES_Cor_15_33",147,114,37,6349,321,20,301,100,232,233,71,436,54,7,44,150,34,41,138,20,27,49,68,98,139,173,173,145,100,58,32,111,127,153,179,213,274,321,315,273,209,154,115,45,44,52,54,42,18,7,9,25,46,45,49
"ES_Gim_14_34",152,115,37,6685,319,15,304,180,83,237,66,420,53,19,29,139,73,99,73,15,19,57,80,116,153,179,178,153,102,54,29,100,132,175,205,247,284,319,313,277,209,145,103,23,19,31,43,53,43,21,35,48,42,31,31
"ES_Gim_14_35",152,115,37,6685,319,15,304,180,83,237,66,420,53,19,29,139,73,99,73,15,19,57,80,116,153,179,178,153,102,54,29,100,132,175,205,247,284,319,313,277,209,145,103,23,19,31,43,53,43,21,35,48,42,31,31
"ES_Gim_15_30",144,112,37,6469,308,10,298,171,62,227,62,434,55,21,28,142,77,100,77,10,17,50,73,109,145,170,169,145,96,49,24,96,125,166,195,235,273,308,302,265,199,138,103,24,21,33,43,55,44,22,34,49,43,34,32
"ES_Gim_15_31",144,112,37,6469,308,10,298,171,62,227,62,434,55,21,28,142,77,100,77,10,17,50,73,109,145,170,169,145,96,49,24,96,125,166,195,235,273,308,302,265,199,138,103,24,21,33,43,55,44,22,34,49,43,34,32
"ES_Gim_16_33",144,112,37,6469,308,10,298,171,62,227,62,434,55,21,28,142,77,100,77,10,17,50,73,109,145,170,169,145,96,49,24,96,125,166,195,235,273,308,302,265,199,138,103,24,21,33,43,55,44,22,34,49,43,34,32
"ES_Gim_16_34",144,112,37,6469,308,10,298,171,62,227,62,434,55,21,28,142,77,100,77,10,17,50,73,109,145,170,169,145,96,49,24,96,125,166,195,235,273,308,302,265,199,138,103,24,21,33,43,55,44,22,34,49,43,34,32
"ES_Gua_15_32",143,117,37,6429,323,15,308,96,230,230,67,480,61,7,48,170,31,40,165,15,22,44,63,92,134,166,167,138,95,54,27,107,124,149,176,210,275,323,316,272,206,151,110,54,51,61,58,43,15,7,9,24,47,51,60
"ES_Pur_16_35",146,116,37,6411,325,18,307,99,232,233,70,470,60,6,49,167,29,37,162,18,25,48,67,95,137,169,170,142,98,57,30,109,127,152,179,213,277,325,319,274,209,153,113,53,50,60,57,42,15,6,8,23,47,50,59
"ES_Tom_15_28",144,123,38,6711,331,10,321,128,235,235,63,416,49,7,38,141,45,45,115,10,17,42,65,96,138,171,166,138,88,47,20,103,126,158,186,222,284,331,321,278,207,147,108,35,38,45,49,47,27,7,11,28,45,42,42
"ES_Tom_15_29",144,123,38,6711,331,10,321,128,235,235,63,416,49,7,38,141,45,45,115,10,17,42,65,96,138,171,166,138,88,47,20,103,126,158,186,222,284,331,321,278,207,147,108,35,38,45,49,47,27,7,11,28,45,42,42
"ES_Tom_16_36",144,123,38,6744,332,9,323,128,235,235,63,419,50,7,38,142,45,45,117,9,16,42,65,96,138,171,166,138,89,47,20,102,125,158,186,222,284,332,322,278,207,147,108,36,38,45,50,47,27,7,11,28,45,42,43
"ES_Tom_16_37",144,123,38,6744,332,9,323,128,235,235,63,419,50,7,38,142,45,45,117,9,16,42,65,96,138,171,166,138,89,47,20,102,125,158,186,222,284,332,322,278,207,147,108,36,38,45,50,47,27,7,11,28,45,42,43
"FI_Aka_14_36",39,81,24,8396,211,-115,326,132,-30,149,-67,595,78,27,33,215,88,208,112,-108,-115,-77,-16,35,88,107,97,57,19,-27,-77,-41,-40,4,69,150,200,211,192,134,76,18,-19,40,27,28,33,38,54,76,78,61,60,55,45
"FI_Aka_14_37",39,81,24,8396,211,-115,326,132,-30,149,-67,595,78,27,33,215,88,208,112,-108,-115,-77,-16,35,88,107,97,57,19,-27,-77,-41,-40,4,69,150,200,211,192,134,76,18,-19,40,27,28,33,38,54,76,78,61,60,55,45
"FI_Aka_15_34",39,81,24,8396,211,-115,326,132,-30,149,-67,595,78,27,33,215,88,208,112,-108,-115,-77,-16,35,88,107,97,57,19,-27,-77,-41,-40,4,69,150,200,211,192,134,76,18,-19,40,27,28,33,38,54,76,78,61,60,55,45
"FI_Aka_15_35",39,81,24,8396,211,-115,326,132,-30,149,-67,595,78,27,33,215,88,208,112,-108,-115,-77,-16,35,88,107,97,57,19,-27,-77,-41,-40,4,69,150,200,211,192,134,76,18,-19,40,27,28,33,38,54,76,78,61,60,55,45
"FI_Aka_16_5",39,81,24,8396,211,-115,326,132,-30,149,-67,595,78,27,33,215,88,208,112,-108,-115,-77,-16,35,88,107,97,57,19,-27,-77,-41,-40,4,69,150,200,211,192,134,76,18,-19,40,27,28,33,38,54,76,78,61,60,55,45
"FI_Aka_16_6",39,81,24,8396,211,-115,326,132,-30,149,-67,595,78,27,33,215,88,208,112,-108,-115,-77,-16,35,88,107,97,57,19,-27,-77,-41,-40,4,69,150,200,211,192,134,76,18,-19,40,27,28,33,38,54,76,78,61,60,55,45
"FI_Ves_14_38",30,76,22,8966,211,-127,338,131,-39,149,-83,621,84,32,31,221,99,214,123,-124,-127,-83,-23,34,92,115,99,53,11,-42,-95,-58,-56,-2,59,140,194,211,185,123,61,1,-37,43,32,33,34,40,56,74,84,63,58,56,48
"FI_Ves_16_7",30,76,22,8966,211,-127,338,131,-39,149,-83,621,84,32,31,221,99,214,123,-124,-127,-83,-23,34,92,115,99,53,11,-42,-95,-58,-56,-2,59,140,194,211,185,123,61,1,-37,43,32,33,34,40,56,74,84,63,58,56,48
"FR_Got_14_08",120,101,35,6388,277,-5,282,125,37,202,37,839,90,47,17,252,185,188,185,-5,1,31,55,94,128,149,145,121,78,38,6,65,88,138,168,209,248,277,270,232,172,113,70,58,64,70,61,83,71,47,70,88,90,74,63
"FR_Got_15_47",120,101,35,6388,277,-5,282,125,37,202,37,839,90,47,17,252,185,188,185,-5,1,31,55,94,128,149,145,121,78,38,6,65,88,138,168,209,248,277,270,232,172,113,70,58,64,70,61,83,71,47,70,88,90,74,63
"FR_Got_15_48",120,101,35,6388,277,-5,282,125,37,202,37,839,90,47,17,252,185,188,185,-5,1,31,55,94,128,149,145,121,78,38,6,65,88,138,168,209,248,277,270,232,172,113,70,58,64,70,61,83,71,47,70,88,90,74,63
"FR_Got_15_49",120,101,35,6388,277,-5,282,125,37,202,37,839,90,47,17,252,185,188,185,-5,1,31,55,94,128,149,145,121,78,38,6,65,88,138,168,209,248,277,270,232,172,113,70,58,64,70,61,83,71,47,70,88,90,74,63
"FR_Got_16_8",120,101,35,6388,277,-5,282,125,37,202,37,839,90,47,17,252,185,188,185,-5,1,31,55,94,128,149,145,121,78,38,6,65,88,138,168,209,248,277,270,232,172,113,70,58,64,70,61,83,71,47,70,88,90,74,63
"FR_Vil_14_05",105,81,35,5530,235,4,231,110,68,175,33,656,60,46,8,175,145,162,162,4,6,28,51,82,112,131,130,109,72,38,13,53,65,112,147,183,215,235,230,202,149,94,60,57,48,51,46,60,55,55,52,57,58,60,57
"FR_Vil_14_07",105,81,35,5530,235,4,231,110,68,175,33,656,60,46,8,175,145,162,162,4,6,28,51,82,112,131,130,109,72,38,13,53,65,112,147,183,215,235,230,202,149,94,60,57,48,51,46,60,55,55,52,57,58,60,57
"FR_Vil_15_40",105,81,35,5530,235,4,231,110,68,175,33,656,60,46,8,175,145,162,162,4,6,28,51,82,112,131,130,109,72,38,13,53,65,112,147,183,215,235,230,202,149,94,60,57,48,51,46,60,55,55,52,57,58,60,57
"FR_Vil_15_41",105,81,35,5530,235,4,231,110,68,175,33,656,60,46,8,175,145,162,162,4,6,28,51,82,112,131,130,109,72,38,13,53,65,112,147,183,215,235,230,202,149,94,60,57,48,51,46,60,55,55,52,57,58,60,57
"FR_Vil_16_9",105,81,35,5530,235,4,231,110,68,175,33,656,60,46,8,175,145,162,162,4,6,28,51,82,112,131,130,109,72,38,13,53,65,112,147,183,215,235,230,202,149,94,60,57,48,51,46,60,55,55,52,57,58,60,57
"GS_Des_15_1",241,76,71,1123,292,185,107,253,230,253,225,2381,297,98,32,822,344,822,350,186,185,185,196,209,219,216,218,216,212,207,195,264,264,270,281,283,286,288,291,292,286,281,269,143,98,109,137,188,193,250,297,275,244,246,201
"GS_Sai_15_2",259,77,71,1083,308,201,107,268,243,270,243,1262,167,45,35,453,162,358,162,201,201,202,215,227,235,235,235,232,229,223,211,284,284,289,298,299,303,305,308,306,302,301,289,65,45,52,71,111,102,117,139,147,167,126,120
"HU_Sze_16_14",108,101,31,7758,273,-45,318,188,20,202,3,515,70,28,29,178,87,175,100,-45,-23,12,56,104,135,146,142,107,59,19,-17,17,51,113,169,222,252,273,270,233,174,92,38,30,28,29,41,56,70,52,53,37,32,45,42
"IT_Mez_15_43",93,95,31,7017,252,-47,299,181,0,181,0,801,96,35,30,264,116,264,116,-47,-31,3,41,80,112,131,127,103,51,8,-30,25,53,98,146,186,225,252,241,209,141,79,34,35,37,47,59,80,83,85,96,78,79,78,44
"IT_Mez_15_44",93,95,31,7017,252,-47,299,181,0,181,0,801,96,35,30,264,116,264,116,-47,-31,3,41,80,112,131,127,103,51,8,-30,25,53,98,146,186,225,252,241,209,141,79,34,35,37,47,59,80,83,85,96,78,79,78,44
"IT_Tre_16_15",107,100,32,7311,272,-40,312,198,29,198,10,840,96,38,28,267,128,267,128,-40,-21,17,55,94,126,145,140,115,58,16,-22,33,67,118,169,207,245,272,261,228,153,91,42,38,40,50,65,80,88,83,96,79,85,86,50
"PO_Brz_15_12",73,69,24,7642,221,-62,283,168,18,168,-29,685,81,35,28,230,108,230,135,-62,-55,-18,33,74,108,133,128,94,53,7,-35,-16,-6,44,115,169,202,221,216,172,114,49,5,41,37,36,35,53,77,72,81,75,62,59,57
"PO_Brz_16_17",73,69,24,7642,221,-62,283,168,18,168,-29,685,81,35,28,230,108,230,135,-62,-55,-18,33,74,108,133,128,94,53,7,-35,-16,-6,44,115,169,202,221,216,172,114,49,5,41,37,36,35,53,77,72,81,75,62,59,57
"PO_Gda_16_16",66,65,26,6696,203,-46,249,153,12,153,-19,544,68,23,33,199,78,199,100,-46,-46,-21,14,58,100,119,113,84,49,12,-23,-6,-1,37,93,148,189,203,197,156,106,51,14,35,24,23,31,43,65,66,68,59,46,43,41
"PT_Rec_14_33",145,94,44,4184,259,46,213,99,197,198,91,1161,157,14,52,469,78,96,448,46,50,74,87,109,135,148,147,137,109,77,53,128,139,160,182,199,234,258,259,242,207,160,131,157,135,94,107,87,43,14,21,61,130,156,156
"PT_Rec_15_16",145,94,44,4184,259,46,213,99,197,198,91,1161,157,14,52,469,78,96,448,46,50,74,87,109,135,148,147,137,109,77,53,128,139,160,182,199,234,258,259,242,207,160,131,157,135,94,107,87,43,14,21,61,130,156,156
"PT_Rec_16_18",145,94,44,4184,259,46,213,99,197,198,91,1161,157,14,52,469,78,96,448,46,50,74,87,109,135,148,147,137,109,77,53,128,139,160,182,199,234,258,259,242,207,160,131,157,135,94,107,87,43,14,21,61,130,156,156
"RS_Kal_16_28",98,100,32,7251,260,-44,304,171,17,188,2,624,73,41,20,201,128,175,138,-44,-26,5,43,87,118,131,129,96,57,10,-20,23,47,102,151,198,235,258,260,224,163,83,36,43,41,44,52,72,73,56,46,44,43,56,54
"RS_Kal_16_29",98,100,32,7251,260,-44,304,171,17,188,2,624,73,41,20,201,128,175,138,-44,-26,5,43,87,118,131,129,96,57,10,-20,23,47,102,151,198,235,258,260,224,163,83,36,43,41,44,52,72,73,56,46,44,43,56,54
"RS_Sla_16_30",113,98,31,7583,275,-32,307,190,25,206,12,640,81,41,22,213,127,196,145,-32,-23,13,61,106,139,152,149,114,69,28,-8,29,54,111,169,218,252,275,275,238,176,99,52,42,44,41,51,68,81,64,51,45,41,53,59
"RS_Sla_16_31",113,98,31,7583,275,-32,307,190,25,206,12,640,81,41,22,213,127,196,145,-32,-23,13,61,106,139,152,149,114,69,28,-8,29,54,111,169,218,252,275,275,238,176,99,52,42,44,41,51,68,81,64,51,45,41,53,59
"RU_Ale_15_55",43,80,21,10121,233,-135,368,170,-77,170,-89,630,91,27,33,227,93,227,113,-135,-128,-72,9,70,112,132,115,66,14,-47,-99,-71,-56,2,97,177,218,233,214,151,74,0,-44,38,28,27,42,51,70,91,66,59,59,52,47
"RU_Ale_16_22",43,80,21,10121,233,-135,368,170,-77,170,-89,630,91,27,33,227,93,227,113,-135,-128,-72,9,70,112,132,115,66,14,-47,-99,-71,-56,2,97,177,218,233,214,151,74,0,-44,38,28,27,42,51,70,91,66,59,59,52,47
"RU_Val_14_51",34,88,24,9476,220,-138,358,155,-38,155,-88,704,85,31,30,241,109,241,124,-138,-136,-97,-17,42,90,110,99,53,13,-45,-96,-64,-54,-3,81,161,209,220,203,140,74,2,-38,42,31,37,41,56,74,85,82,70,75,60,51
"RU_Val_16_19",34,88,24,9482,220,-138,358,155,-38,155,-88,707,86,31,30,242,109,242,124,-138,-136,-97,-17,43,90,110,99,53,13,-45,-96,-64,-54,-3,81,162,208,220,203,140,74,2,-38,42,31,37,41,56,74,86,82,70,76,61,51
"RU_Val_16_20",34,88,24,9482,220,-138,358,155,-38,155,-88,707,86,31,30,242,109,242,124,-138,-136,-97,-17,43,90,110,99,53,13,-45,-96,-64,-54,-3,81,162,208,220,203,140,74,2,-38,42,31,37,41,56,74,86,82,70,76,61,51
"RU_Val_16_21",34,88,24,9482,220,-138,358,155,-38,155,-88,707,86,31,30,242,109,242,124,-138,-136,-97,-17,43,90,110,99,53,13,-45,-96,-64,-54,-3,81,162,208,220,203,140,74,2,-38,42,31,37,41,56,74,86,82,70,76,61,51
"RU_tul_15_37",47,85,22,10332,238,-134,372,175,-78,175,-87,609,84,29,31,222,96,222,112,-134,-130,-74,15,76,115,131,117,68,15,-45,-94,-67,-57,-4,104,189,227,238,226,165,85,6,-37,38,29,29,41,49,71,84,67,56,51,49,45
"RU_val_15_36",34,88,24,9482,220,-138,358,155,-38,155,-88,707,86,31,30,242,109,242,124,-138,-136,-97,-17,43,90,110,99,53,13,-45,-96,-64,-54,-3,81,162,208,220,203,140,74,2,-38,42,31,37,41,56,74,86,82,70,76,61,51
"RU_val_15_38",34,88,24,9482,220,-138,358,155,-38,155,-88,707,86,31,30,242,109,242,124,-138,-136,-97,-17,43,90,110,99,53,13,-45,-96,-64,-54,-3,81,162,208,220,203,140,74,2,-38,42,31,37,41,56,74,86,82,70,76,61,51
"SE_Lun_14_30",79,61,26,6160,202,-27,229,153,25,160,5,645,67,34,22,197,113,185,152,-23,-27,-8,24,72,112,131,127,100,67,13,-1,23,24,50,93,148,190,202,199,163,118,69,35,55,34,42,37,41,51,67,67,63,63,62,63
"SE_Lun_15_14",79,61,26,6160,202,-27,229,153,25,160,5,645,67,34,22,197,113,185,152,-23,-27,-8,24,72,112,131,127,100,67,13,-1,23,24,50,93,148,190,202,199,163,118,69,35,55,34,42,37,41,51,67,67,63,63,62,63
"SE_Lun_15_15",79,61,26,6160,202,-27,229,153,25,160,5,645,67,34,22,197,113,185,152,-23,-27,-8,24,72,112,131,127,100,67,13,-1,23,24,50,93,148,190,202,199,163,118,69,35,55,34,42,37,41,51,67,67,63,63,62,63
